model,dataset,class,defect_type,auroc_pct,n_defect,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,bottom_anomaly_score,mean_defect_score
adaptclip,visa,cashew,Anomaly,86.2,100,0.2119,0.3579,0.7047,3.8507,0.2595,0.5974
adaptclip,mvtec,pill,pill_type,91.0256,9,0.1481,0.1613,0.4368,1.1114,0.4305,0.745
adaptclip,mvtec,pill,scratch,84.2949,24,0.1459,0.208,0.5092,1.0948,0.3941,0.6732
adaptclip,mvtec,pill,crack,82.6923,26,0.1456,0.2394,0.4845,1.0927,0.3796,0.6462
adaptclip,mvtec,pill,contamination,86.63,21,0.1429,0.239,0.444,1.0725,0.4559,0.6818
adaptclip,mvtec,pill,color,84.9231,25,0.1409,0.1993,0.5186,1.0578,0.3338,0.6636
adaptclip,mvtec,pill,combined,92.3077,17,0.1388,0.2007,0.4487,1.042,0.4784,0.7524
adaptclip,mvtec,pill,faulty_imprint,91.2955,19,0.1087,0.1457,0.3617,0.8161,0.5186,0.7264
adaptclip,visa,pcb2,Anomaly,66.14,100,0.0983,0.1371,0.5119,0.8497,0.4313,0.7641
adaptclip,visa,pcb3,Anomaly,65.4653,100,0.0879,0.1268,0.387,1.1345,0.5207,0.7574
adaptclip,visa,macaroni1,Anomaly,82.71,100,0.0782,0.092,0.4217,1.2547,0.3612,0.4983
adaptclip,mvtec,transistor,misplaced,78.1667,10,0.0729,0.0905,0.2235,1.3255,0.687,0.8086
adaptclip,mvtec,transistor,cut_lead,84.8333,10,0.061,0.1046,0.1726,1.1086,0.7391,0.8245
adaptclip,mvtec,screw,scratch_neck,82.3415,25,0.0533,0.0655,0.2041,1.6374,0.7557,0.8661
adaptclip,mvtec,screw,manipulated_front,89.6341,24,0.0462,0.062,0.1681,1.418,0.7986,0.8801
adaptclip,mvtec,screw,thread_top,92.2587,23,0.0444,0.0697,0.1429,1.3637,0.8145,0.89
adaptclip,mvtec,transistor,bent_lead,92.1667,10,0.0432,0.0639,0.1405,0.7861,0.7692,0.8404
adaptclip,mvtec,screw,thread_side,81.2301,23,0.0417,0.0735,0.1438,1.2808,0.7766,0.859
adaptclip,mvtec,cable,cut_outer_insulation,97.931,10,0.035,0.0656,0.0871,2.1958,0.8543,0.8925
adaptclip,mvtec,transistor,damaged_case,99.5,10,0.0321,0.034,0.0997,0.5839,0.8476,0.9038
adaptclip,mvtec,cable,poke_insulation,93.4483,10,0.0297,0.0315,0.0989,1.8638,0.8239,0.8742
adaptclip,mvtec,cable,bent_wire,81.0345,13,0.0295,0.0372,0.0888,1.855,0.817,0.8549
adaptclip,mvtec,cable,combined,93.8871,11,0.0278,0.0521,0.0691,1.7443,0.839,0.8682
adaptclip,mvtec,screw,scratch_head,84.0447,24,0.0268,0.0237,0.1109,0.8221,0.8136,0.8456
adaptclip,mvtec,cable,missing_wire,91.3793,10,0.0261,0.0138,0.1042,1.6363,0.8211,0.8622
adaptclip,mvtec,cable,cut_inner_insulation,79.064,14,0.0241,0.0391,0.0701,1.5127,0.8201,0.8477
adaptclip,mvtec,cable,missing_cable,64.9425,12,0.0216,0.0263,0.0757,1.3558,0.7895,0.8337
adaptclip,visa,macaroni2,Anomaly,71.5,100,0.0209,0.0202,0.1265,0.2201,0.8508,0.9551
adaptclip,mvtec,cable,cable_swap,74.569,12,0.0196,0.014,0.0656,1.2278,0.8138,0.8417
anomalyclip,mvtec,transistor,misplaced,83.1667,10,0.0556,0.0492,0.2024,0.9929,0.742,0.8647
anomalyclip,mvtec,transistor,damaged_case,88.6667,10,0.0518,0.0818,0.1462,0.9246,0.7997,0.8816
anomalyclip,visa,pcb2,Anomaly,68.94,100,0.0458,0.0507,0.2202,1.0106,0.7488,0.8554
anomalyclip,mvtec,transistor,bent_lead,86.3333,10,0.045,0.0471,0.1494,0.8043,0.7893,0.868
anomalyclip,mvtec,transistor,cut_lead,91.3333,10,0.0407,0.0372,0.1301,0.7267,0.7951,0.8834
anomalyclip,mvtec,cable,missing_wire,74.6552,10,0.0386,0.0247,0.132,1.3497,0.8363,0.9175
anomalyclip,mvtec,cable,poke_insulation,75.8621,10,0.0378,0.0474,0.1091,1.3213,0.8517,0.9213
anomalyclip,visa,pcb3,Anomaly,76.7228,100,0.0358,0.0426,0.1903,1.1994,0.7829,0.9053
anomalyclip,visa,macaroni2,Anomaly,78.02,100,0.0279,0.0259,0.1535,0.6501,0.8364,0.953
anomalyclip,mvtec,cable,combined,94.5141,11,0.0258,0.0267,0.0843,0.902,0.8966,0.9541
anomalyclip,mvtec,cable,bent_wire,81.0345,13,0.0254,0.0354,0.079,0.8874,0.8744,0.9226
anomalyclip,visa,macaroni1,Anomaly,88.64,100,0.0248,0.0322,0.1171,0.5913,0.8648,0.943
anomalyclip,visa,cashew,Anomaly,95.82,100,0.0207,0.0283,0.0918,0.6407,0.9058,0.97
anomalyclip,mvtec,cable,cut_inner_insulation,87.8079,14,0.0203,0.0243,0.0684,0.7078,0.8919,0.9305
anomalyclip,mvtec,cable,missing_cable,98.1322,12,0.0179,0.0206,0.0578,0.6265,0.9246,0.9556
anomalyclip,mvtec,cable,cut_outer_insulation,94.3103,10,0.017,0.0219,0.0556,0.5932,0.909,0.9398
anomalyclip,mvtec,cable,cable_swap,96.408,12,0.0168,0.0246,0.0575,0.5867,0.913,0.9449
anomalyclip,mvtec,screw,scratch_neck,84.0,25,0.0117,0.0095,0.0487,0.673,0.9447,0.9817
anomalyclip,mvtec,screw,manipulated_front,76.9309,24,0.0112,0.0135,0.0499,0.6418,0.9429,0.9786
anomalyclip,mvtec,pill,crack,65.2367,26,0.008,0.0123,0.0304,1.2222,0.9595,0.9782
anomalyclip,mvtec,screw,thread_side,87.2747,23,0.0076,0.0096,0.0312,0.4346,0.9629,0.9833
anomalyclip,mvtec,screw,scratch_head,82.7236,24,0.0074,0.007,0.0299,0.426,0.964,0.9804
anomalyclip,mvtec,screw,thread_top,90.7741,23,0.0072,0.0083,0.0285,0.41,0.9666,0.9849
anomalyclip,mvtec,pill,faulty_imprint,80.9717,19,0.0068,0.0082,0.0266,1.0347,0.9665,0.9829
anomalyclip,mvtec,pill,color,88.9231,25,0.0064,0.0035,0.0286,0.9699,0.9654,0.9857
anomalyclip,mvtec,pill,combined,89.819,17,0.0064,0.0102,0.0214,0.9733,0.9768,0.9864
anomalyclip,mvtec,pill,scratch,82.5321,24,0.0056,0.0054,0.0213,0.8555,0.972,0.9825
anomalyclip,mvtec,pill,contamination,84.4322,21,0.0043,0.0058,0.0164,0.6546,0.975,0.9821
anomalyclip,mvtec,pill,pill_type,97.4359,9,0.0034,0.0036,0.011,0.5155,0.9844,0.9916
winclip,mvtec,transistor,misplaced,95.3333,10,0.1582,0.2405,0.4653,2.1384,0.272,0.4866
winclip,mvtec,cable,bent_wire,93.2361,13,0.155,0.2179,0.5038,4.3475,0.0851,0.271
winclip,mvtec,transistor,damaged_case,95.0833,10,0.1543,0.1878,0.4797,2.0855,0.2751,0.4552
winclip,visa,cashew,Anomaly,90.95,100,0.1218,0.1682,0.599,2.8804,0.2018,0.4559
winclip,mvtec,cable,missing_cable,90.5891,12,0.114,0.0717,0.4138,3.1964,0.0706,0.2086
winclip,mvtec,screw,thread_top,84.5175,23,0.1107,0.1276,0.4043,1.8031,0.1733,0.3272
winclip,mvtec,transistor,bent_lead,88.25,10,0.1053,0.1215,0.3579,1.4228,0.1968,0.3585
winclip,mvtec,cable,cut_inner_insulation,84.7906,14,0.1001,0.1122,0.3201,2.8084,0.0759,0.1805
winclip,mvtec,screw,scratch_neck,75.2683,25,0.089,0.0967,0.3723,1.4507,0.1824,0.2736
winclip,mvtec,cable,combined,93.5737,11,0.0821,0.131,0.2529,2.3018,0.094,0.2046
winclip,mvtec,transistor,cut_lead,78.75,10,0.0819,0.083,0.2894,1.1069,0.1871,0.2934
winclip,mvtec,screw,scratch_head,76.7785,24,0.0799,0.08,0.35,1.3014,0.15,0.2784
winclip,mvtec,pill,faulty_imprint,88.9676,19,0.0754,0.0659,0.2975,1.8835,0.2338,0.3254
winclip,mvtec,screw,manipulated_front,50.3049,24,0.0693,0.093,0.3001,1.1292,0.1225,0.2136
winclip,mvtec,pill,crack,81.5828,26,0.068,0.0854,0.2632,1.6991,0.1824,0.3024
winclip,mvtec,screw,thread_side,73.5419,23,0.0646,0.0679,0.2764,1.0523,0.1384,0.2584
winclip,mvtec,pill,combined,99.6606,17,0.0634,0.0835,0.2239,1.584,0.3074,0.418
winclip,visa,macaroni2,Anomaly,66.795,100,0.0584,0.0716,0.2815,1.1057,0.0496,0.1364
winclip,mvtec,cable,cut_outer_insulation,83.4483,10,0.056,0.0538,0.1944,1.5716,0.0854,0.1408
winclip,mvtec,pill,pill_type,5.3419,9,0.0546,0.0679,0.1621,1.364,0.0396,0.1353
winclip,mvtec,pill,scratch,87.5,24,0.0545,0.0546,0.2402,1.3632,0.1824,0.3061
winclip,mvtec,cable,cable_swap,82.5431,12,0.0537,0.0412,0.2166,1.5069,0.0688,0.1369
winclip,mvtec,pill,contamination,87.7289,21,0.0528,0.0525,0.1866,1.3197,0.2281,0.3054
winclip,mvtec,pill,color,78.9231,25,0.048,0.0814,0.1663,1.1986,0.1968,0.2854
winclip,mvtec,cable,missing_wire,72.2414,10,0.0472,0.0551,0.1368,1.3228,0.0637,0.1185
winclip,mvtec,cable,poke_insulation,77.5862,10,0.0345,0.0504,0.1008,0.9677,0.0637,0.1226
winclip,visa,pcb2,Anomaly,47.03,100,0.0339,0.0528,0.1735,0.7638,0.0716,0.1463
winclip,visa,macaroni1,Anomaly,78.83,100,0.0276,0.0267,0.1632,1.5911,0.0311,0.075
winclip,visa,pcb3,Anomaly,63.6584,100,0.016,0.0197,0.092,1.2136,0.0357,0.0632
