model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,bottom_anomaly_score,top_anomaly_score,rank_low_to_high,low_auroc
adaptclip,mvtec,cable,missing_cable,83.63943028485757,64.94252873563218,58,12,0.8254737597087334,0.8337189008792242,0.0082451411704908,0.7895283699035645,0.865190327167511,1,True
adaptclip,mvtec,bottle,contamination,90.71428571428571,73.09523809523809,20,21,0.8585037559270858,0.8901948077338082,0.03169105180672238,0.8279402852058411,0.9723717570304872,2,True
adaptclip,mvtec,cable,cable_swap,83.63943028485757,74.56896551724138,58,12,0.8254737597087334,0.841732253630956,0.016258493922222672,0.8137920498847961,0.879404604434967,3,True
adaptclip,mvtec,transistor,misplaced,88.66666666666666,78.16666666666666,60,10,0.7394254724184672,0.8086092948913575,0.06918382247289023,0.6869770884513855,0.9104819297790528,4,True
adaptclip,mvtec,cable,cut_inner_insulation,83.63943028485757,79.064039408867,58,14,0.8254737597087334,0.8477401988846915,0.022266439175958164,0.8200628757476807,0.890167772769928,5,True
adaptclip,mvtec,cable,bent_wire,83.63943028485757,81.0344827586207,58,13,0.8254737597087334,0.8548662066459656,0.029392446937232197,0.8170428276062012,0.9058428406715392,6,False
adaptclip,mvtec,screw,thread_side,85.85775773724124,81.23011664899258,41,23,0.8118767113220401,0.8589954428050829,0.0471187314830428,0.7766056060791016,0.9203925132751464,7,False
adaptclip,mvtec,screw,scratch_neck,85.85775773724124,82.34146341463415,41,25,0.8118767113220401,0.8660953235626221,0.054218612240582,0.7557036876678467,0.9598228931427002,8,False
adaptclip,mvtec,pill,crack,86.797599563557,82.6923076923077,26,26,0.47040416529545415,0.6462291788596374,0.17582501356418323,0.37964928150177,0.8641635775566101,9,False
adaptclip,mvtec,screw,scratch_head,85.85775773724124,84.04471544715449,41,24,0.8118767113220401,0.8456478714942932,0.03377116017225312,0.8136000633239746,0.9244843125343324,10,False
adaptclip,mvtec,pill,scratch,86.797599563557,84.2948717948718,26,24,0.47040416529545415,0.673215546955665,0.20281138166021084,0.3940914571285248,0.9033002257347108,11,False
adaptclip,mvtec,hazelnut,print,94.78571428571428,84.41176470588235,40,17,0.8560861602425576,0.9070667904966018,0.0509806302540442,0.8445917963981628,0.9632493853569032,12,False
adaptclip,mvtec,transistor,cut_lead,88.66666666666666,84.83333333333334,60,10,0.7394254724184672,0.824478131532669,0.08505265911420179,0.7390874028205872,0.9117191433906556,13,False
adaptclip,mvtec,pill,color,86.797599563557,84.92307692307692,26,25,0.47040416529545415,0.6636083114147187,0.1932041461192645,0.3338463008403778,0.8524439334869385,14,False
adaptclip,mvtec,pill,contamination,86.797599563557,86.63003663003663,26,21,0.47040416529545415,0.6818155859197889,0.2114114206243347,0.455948919057846,0.8999578952789307,15,False
adaptclip,mvtec,capsule,faulty_imprint,95.17351416035102,88.3399209486166,23,22,0.37277533826620685,0.5548683012073691,0.18209296294116223,0.3438090980052948,0.8443406224250793,16,False
adaptclip,mvtec,screw,manipulated_front,85.85775773724124,89.63414634146342,41,24,0.8118767113220401,0.8801477625966072,0.06827105127456712,0.7986085414886475,0.9667508602142334,17,False
adaptclip,mvtec,metal_nut,flip,93.6950146627566,89.72332015810277,22,23,0.5708795758810911,0.7993865350018377,0.2285069591207466,0.7608672976493835,0.8433933258056641,18,False
adaptclip,mvtec,pill,pill_type,86.797599563557,91.02564102564102,26,9,0.47040416529545415,0.7450451950232188,0.2746410297277646,0.4304756224155426,0.8672254681587219,19,False
adaptclip,mvtec,pill,faulty_imprint,86.797599563557,91.29554655870444,26,19,0.47040416529545415,0.7263904151163603,0.2559862498209061,0.5186213850975037,0.8803229928016663,20,False
adaptclip,mvtec,cable,missing_wire,83.63943028485757,91.37931034482759,58,10,0.8254737597087334,0.8621610283851624,0.03668726867642902,0.8210905194282532,0.9253041744232178,21,False
adaptclip,mvtec,toothbrush,defective,91.94444444444444,91.94444444444444,12,30,0.4112740208705266,0.6965457022190094,0.28527168134848274,0.3085421323776245,0.903734564781189,22,False
adaptclip,mvtec,transistor,bent_lead,88.66666666666666,92.16666666666666,60,10,0.7394254724184672,0.8404332041740418,0.10100773175557454,0.7691717743873596,0.9096348881721495,23,False
adaptclip,mvtec,screw,thread_top,85.85775773724124,92.25874867444327,41,23,0.8118767113220401,0.8899666926135188,0.0780899812914787,0.8145461678504944,0.9574090838432312,24,False
adaptclip,mvtec,pill,combined,86.797599563557,92.3076923076923,26,17,0.47040416529545415,0.75239157501389,0.28198740971843583,0.4784466326236725,0.9271768927574158,25,False
adaptclip,mvtec,metal_nut,color,93.6950146627566,93.18181818181819,22,22,0.5708795758810911,0.8555792109532789,0.2846996350721879,0.5368313789367676,0.9538396000862122,26,False
adaptclip,mvtec,cable,poke_insulation,83.63943028485757,93.44827586206897,58,10,0.8254737597087334,0.8741940557956696,0.04872029608693618,0.8239087462425232,0.9228147864341736,27,False
adaptclip,mvtec,cable,combined,83.63943028485757,93.88714733542321,58,11,0.8254737597087334,0.868162063035098,0.04268830332636464,0.8390434384346008,0.9080968499183656,28,False
adaptclip,mvtec,capsule,squeeze,95.17351416035102,94.34782608695652,23,20,0.37277533826620685,0.625975425541401,0.2532000872751941,0.3634656369686126,0.920933723449707,29,False
adaptclip,mvtec,metal_nut,bent,93.6950146627566,94.9090909090909,22,25,0.5708795758810911,0.870578453540802,0.2996988776597109,0.6187734603881836,0.969792902469635,30,False
adaptclip,mvtec,hazelnut,cut,94.78571428571428,95.14705882352942,40,17,0.8560861602425576,0.9346338861128863,0.07854772587032877,0.8898242115974426,0.9713876843452454,31,False
adaptclip,mvtec,grid,thread,98.9139515455305,95.23809523809524,21,11,0.18945876633127526,0.5409204119985754,0.3514616456673002,0.2145502120256424,0.8436908721923828,32,False
adaptclip,mvtec,capsule,scratch,95.17351416035102,95.84120982986768,23,23,0.37277533826620685,0.5655904088331305,0.19281507056692365,0.3756016790866852,0.921928882598877,33,False
adaptclip,mvtec,zipper,squeezed_teeth,99.26470588235294,96.484375,32,16,0.14316008798778052,0.2550056604668498,0.11184557247906929,0.1363663524389267,0.4184116125106811,34,False
adaptclip,mvtec,wood,combined,98.68421052631578,96.65071770334927,19,11,0.732672885844582,0.9107506004246798,0.1780777145800978,0.743310272693634,0.9733555912971495,35,False
adaptclip,mvtec,metal_nut,scratch,93.6950146627566,96.83794466403161,22,23,0.5708795758810911,0.8559155723322993,0.28503599645120825,0.5575442314147949,0.9473057389259338,36,False
adaptclip,mvtec,capsule,crack,95.17351416035102,97.54253308128544,23,23,0.37277533826620685,0.6507359483967656,0.2779606101305588,0.4067139625549316,0.968024492263794,37,False
adaptclip,mvtec,cable,cut_outer_insulation,83.63943028485757,97.93103448275862,58,10,0.8254737597087334,0.8925081074237824,0.06703434771504901,0.8542881608009338,0.9413781762123108,38,False
adaptclip,mvtec,wood,color,98.68421052631578,98.02631578947367,19,8,0.732672885844582,0.9379170536994934,0.2052441678549114,0.8025832176208496,0.9659080505371094,39,False
adaptclip,mvtec,zipper,fabric_interior,99.26470588235294,98.4375,32,16,0.14316008798778052,0.40264820866286755,0.25948812067508703,0.1667865663766861,0.7218241095542908,40,False
adaptclip,mvtec,tile,rough,99.63924963924964,98.58585858585859,33,15,0.25021901636412647,0.7592808485031128,0.5090618321389864,0.3623068332672119,0.9404637813568116,41,False
adaptclip,mvtec,wood,scratch,98.68421052631578,98.74686716791979,19,21,0.732672885844582,0.9336232855206444,0.20095039967606243,0.810120165348053,0.9794031977653505,42,False
adaptclip,mvtec,bottle,broken_large,90.71428571428571,99.0,20,20,0.8585037559270858,0.9631889671087265,0.10468521118164065,0.923105537891388,0.9784687161445618,43,False
adaptclip,mvtec,grid,glue,98.9139515455305,99.13419913419914,21,11,0.18945876633127526,0.5296791385520588,0.3402203722207836,0.2535848617553711,0.8031466603279114,44,False
adaptclip,mvtec,hazelnut,crack,94.78571428571428,99.30555555555554,40,18,0.8560861602425576,0.9555299282073975,0.09944376796483989,0.928929090499878,0.9746842980384828,45,False
adaptclip,mvtec,tile,gray_stroke,99.63924963924964,99.43181818181817,33,16,0.25021901636412647,0.8641018569469452,0.6138828405828187,0.5063628554344177,0.9491948485374452,46,False
adaptclip,mvtec,transistor,damaged_case,88.66666666666666,99.5,60,10,0.7394254724184672,0.903799033164978,0.16437356074651077,0.8475956916809082,0.947294533252716,47,False
adaptclip,mvtec,zipper,broken_teeth,99.26470588235294,99.67105263157895,32,19,0.14316008798778052,0.4318895692888059,0.2887294813010254,0.2021724730730056,0.8595567345619202,48,False
adaptclip,mvtec,hazelnut,hole,94.78571428571428,99.72222222222223,40,18,0.8560861602425576,0.9613083369202085,0.10522217667765088,0.9145522117614746,0.9747939705848694,49,False
adaptclip,mvtec,capsule,poke,95.17351416035102,99.79296066252589,23,21,0.37277533826620685,0.7713250347546169,0.39854969648841004,0.4491340219974518,0.975456476211548,50,False
adaptclip,mvtec,leather,glue,99.96603260869566,99.83552631578947,32,19,0.3668485702946782,0.8434698613066423,0.47662129101196404,0.6520945429801941,0.9260346293449402,51,False
adaptclip,mvtec,bottle,broken_small,90.71428571428571,100.0,20,22,0.8585037559270858,0.9713464839891954,0.1128427280621096,0.9469148516654968,0.9811328053474426,52,False
adaptclip,mvtec,carpet,color,100.0,100.0,28,19,0.12781569508037394,0.6026586937276941,0.47484299864732016,0.3751846253871918,0.9095306992530824,52,False
adaptclip,mvtec,carpet,cut,100.0,100.0,28,17,0.12781569508037394,0.5875449092949138,0.4597292142145398,0.2179276943206787,0.9497387409210204,52,False
adaptclip,mvtec,carpet,hole,100.0,100.0,28,17,0.12781569508037394,0.5946981126771254,0.4668824175967514,0.2338085174560547,0.9014032483100892,52,False
adaptclip,mvtec,carpet,metal_contamination,100.0,100.0,28,17,0.12781569508037394,0.5169883510645699,0.3891726559841959,0.3073071539402008,0.7754847407341003,52,False
adaptclip,mvtec,carpet,thread,100.0,100.0,28,19,0.12781569508037394,0.5743929830036665,0.44657728792329254,0.2495362013578415,0.9050309062004088,52,False
adaptclip,mvtec,grid,bent,98.9139515455305,100.0,21,12,0.18945876633127526,0.42926091949145,0.23980215316017475,0.2759149074554443,0.6621318459510803,52,False
adaptclip,mvtec,grid,broken,98.9139515455305,100.0,21,12,0.18945876633127526,0.7534947941700617,0.5640360278387865,0.4595495164394378,0.884087324142456,52,False
adaptclip,mvtec,grid,metal_contamination,98.9139515455305,100.0,21,11,0.18945876633127526,0.6546296666968953,0.46517090036562003,0.3371613323688507,0.7650201916694641,52,False
adaptclip,mvtec,leather,color,99.96603260869566,100.0,32,19,0.3668485702946782,0.9203651076868961,0.5535165373922178,0.85391765832901,0.9629833102226256,52,False
adaptclip,mvtec,leather,cut,99.96603260869566,100.0,32,19,0.3668485702946782,0.9579302480346278,0.5910816777399496,0.9164168238639832,0.9784135818481444,52,False
adaptclip,mvtec,leather,fold,99.96603260869566,100.0,32,17,0.3668485702946782,0.8956670866293066,0.5288185163346284,0.7748188972473145,0.9586463570594788,52,False
adaptclip,mvtec,leather,poke,99.96603260869566,100.0,32,18,0.3668485702946782,0.9374505910608504,0.5706020207661722,0.8540402054786682,0.9683154225349426,52,False
adaptclip,mvtec,tile,crack,99.63924963924964,100.0,33,17,0.25021901636412647,0.86762495952494,0.6174059431608135,0.7737966179847717,0.9743828773498536,52,False
adaptclip,mvtec,tile,glue_strip,99.63924963924964,100.0,33,18,0.25021901636412647,0.9032302035225762,0.6530111871584497,0.8196665644645691,0.9509527683258056,52,False
adaptclip,mvtec,tile,oil,99.63924963924964,100.0,33,18,0.25021901636412647,0.8841529952155219,0.6339339788513955,0.8466336727142334,0.9283797144889832,52,False
adaptclip,mvtec,wood,hole,98.68421052631578,100.0,19,10,0.732672885844582,0.9316545844078064,0.19898169856322434,0.8732225894927979,0.9762669205665588,52,False
adaptclip,mvtec,wood,liquid,98.68421052631578,100.0,19,10,0.732672885844582,0.8871906876564026,0.15451780181182062,0.867065966129303,0.9041595458984376,52,False
adaptclip,mvtec,zipper,combined,99.26470588235294,100.0,32,16,0.14316008798778052,0.6091464944183826,0.46598640643060213,0.2506726682186126,0.9609237313270568,52,False
adaptclip,mvtec,zipper,fabric_border,99.26470588235294,100.0,32,17,0.14316008798778052,0.791990339756012,0.6488302517682314,0.5152725577354431,0.9279401302337646,52,False
adaptclip,mvtec,zipper,rough,99.26470588235294,100.0,32,17,0.14316008798778052,0.5554118156433105,0.41225172765553003,0.3415032923221588,0.9048826694488524,52,False
adaptclip,mvtec,zipper,split_teeth,99.26470588235294,100.0,32,18,0.14316008798778052,0.29186664273341495,0.14870655474563443,0.2199770361185073,0.3924721181392669,52,False
anomalyclip,mvtec,cable,bent_wire,70.27736131934032,58.355437665782496,58,13,0.9912159062665085,0.9919790763121384,0.0007631700456299795,0.987296462059021,0.9959874749183656,1,True
anomalyclip,mvtec,cable,missing_wire,70.27736131934032,65.17241379310346,58,10,0.9912159062665085,0.9929190516471863,0.0017031453806778396,0.9884753227233888,0.9967547059059144,2,True
anomalyclip,mvtec,cable,missing_cable,70.27736131934032,66.37931034482759,58,12,0.9912159062665085,0.9908206462860107,-0.0003952599804977197,0.9634385108947754,0.997553050518036,3,True
anomalyclip,mvtec,pill,crack,81.09656301145662,67.603550295858,26,26,0.9249230944193326,0.9363117676514846,0.01138867323215198,0.8683803677558899,0.970979869365692,4,True
anomalyclip,mvtec,cable,poke_insulation,70.27736131934032,68.62068965517241,58,10,0.9912159062665085,0.9931555032730103,0.0019395970065018142,0.9868572354316713,0.996613085269928,5,True
anomalyclip,mvtec,cable,cut_inner_insulation,70.27736131934032,68.8423645320197,58,14,0.9912159062665085,0.9931659741061074,0.0019500678395989457,0.9905789494514464,0.996907651424408,6,True
anomalyclip,mvtec,bottle,contamination,88.65079365079366,70.71428571428571,20,21,0.9924770534038544,0.9943636655807495,0.0018866121768951194,0.986601173877716,0.9996849298477172,7,True
anomalyclip,mvtec,screw,manipulated_front,82.10698913711826,73.17073170731707,41,24,0.9863298506271548,0.9906473606824875,0.004317510055332652,0.9814729690551758,0.9973015785217284,8,True
anomalyclip,mvtec,capsule,faulty_imprint,89.50937375349022,74.70355731225298,23,22,0.9496215296828229,0.9615253020416606,0.011903772358837772,0.9076716899871826,0.983958899974823,9,True
anomalyclip,mvtec,cable,cable_swap,70.27736131934032,76.72413793103449,58,12,0.9912159062665085,0.9940363516410192,0.0028204453745107605,0.9920151233673096,0.9971193075180054,10,True
anomalyclip,mvtec,pill,combined,81.09656301145662,77.60180995475113,26,17,0.9249230944193326,0.9517742360339445,0.026851141614611884,0.8957379460334778,0.9917184114456176,11,True
anomalyclip,mvtec,cable,cut_outer_insulation,70.27736131934032,77.75862068965517,58,10,0.9912159062665085,0.9939938843250274,0.0027779780585189817,0.991272509098053,0.9972807168960572,12,True
anomalyclip,mvtec,pill,scratch,81.09656301145662,78.2051282051282,26,24,0.9249230944193326,0.9464686289429665,0.021545534523633836,0.9042701125144958,0.9786794185638428,13,True
anomalyclip,mvtec,screw,thread_side,82.10698913711826,79.95758218451749,41,23,0.9863298506271548,0.9919081408044567,0.005578290177301826,0.9813372492790222,0.9974852800369264,14,True
anomalyclip,mvtec,pill,contamination,81.09656301145662,81.86813186813187,26,21,0.9249230944193326,0.9493294585318792,0.024406364112546597,0.9229790568351746,0.9827020168304444,15,False
anomalyclip,mvtec,metal_nut,flip,92.37536656891496,82.01581027667983,22,23,0.9806581789797003,0.9869111750436865,0.006252996063986216,0.981676459312439,0.990865170955658,16,False
anomalyclip,mvtec,screw,scratch_head,82.10698913711826,82.72357723577237,41,24,0.9863298506271548,0.9921141738692919,0.005784323242137068,0.9868826270103456,0.996301770210266,17,False
anomalyclip,mvtec,cable,combined,70.27736131934032,82.75862068965517,58,11,0.9912159062665085,0.9947942332787947,0.00357832701228622,0.9885226488113404,0.9979451298713684,18,False
anomalyclip,mvtec,screw,scratch_neck,82.10698913711826,84.78048780487805,41,25,0.9863298506271548,0.9919664335250854,0.005636582897930564,0.9781675934791564,0.9965062141418456,19,False
anomalyclip,mvtec,toothbrush,defective,85.27777777777779,85.27777777777779,12,30,0.9500507165988287,0.9758112907409668,0.02576057414213817,0.9225006103515624,0.9905677437782288,20,False
anomalyclip,mvtec,wood,combined,96.9298245614035,87.08133971291866,19,11,0.9337222544770492,0.9823038415475325,0.04858158707048332,0.8859530091285706,0.999580442905426,21,False
anomalyclip,mvtec,pill,faulty_imprint,81.09656301145662,87.85425101214574,26,19,0.9249230944193326,0.9572576629488092,0.03233456852947658,0.9195109009742736,0.9851744771003724,22,False
anomalyclip,mvtec,pill,color,81.09656301145662,88.30769230769232,26,25,0.9249230944193326,0.9565795111656189,0.031656416746286276,0.8922054767608643,0.981827199459076,23,False
anomalyclip,mvtec,capsule,squeeze,89.50937375349022,89.34782608695653,23,20,0.9496215296828229,0.972191435098648,0.022569905415825153,0.9343612790107728,0.9923648834228516,24,False
anomalyclip,mvtec,screw,thread_top,82.10698913711826,90.03181336161188,41,23,0.9863298506271548,0.9936769371447356,0.007347086517580759,0.9867886304855348,0.9972906708717346,25,False
anomalyclip,mvtec,transistor,misplaced,93.875,90.49999999999999,60,10,0.9025453428427378,0.9503067255020141,0.04776138265927632,0.9053753018379213,0.9824405312538148,26,False
anomalyclip,mvtec,capsule,scratch,89.50937375349022,91.68241965973534,23,23,0.9496215296828229,0.9703784222188203,0.02075689253599744,0.9488317370414734,0.9888929724693298,27,False
anomalyclip,mvtec,hazelnut,print,97.17857142857143,92.05882352941177,40,17,0.9771937370300293,0.9917946948724634,0.014600957842434092,0.981581211090088,0.9984934329986572,28,False
anomalyclip,mvtec,grid,thread,97.82790309106099,92.20779220779221,21,11,0.3745485998335339,0.6957630460912531,0.32121444625771917,0.3214325904846191,0.9593446254730223,29,False
anomalyclip,mvtec,metal_nut,scratch,92.37536656891496,92.88537549407114,22,23,0.9806581789797003,0.9906427808429884,0.00998460186328809,0.9731857180595398,0.9966166615486144,30,False
anomalyclip,mvtec,transistor,damaged_case,93.875,94.5,60,10,0.9025453428427378,0.9600297570228576,0.05748441418011985,0.9202572703361512,0.9875054359436036,31,False
anomalyclip,mvtec,transistor,bent_lead,93.875,94.83333333333333,60,10,0.9025453428427378,0.9542027950286865,0.05165745218594875,0.9193552136421204,0.9784010648727416,32,False
